path,label,split,fold,frame_count,frame_width,frame_height,video_fps,youtube_id,youtube_sequence,source,target
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/953.mp4,0,test,youtube,351,1280,720,25,yv8BV_DKsFM,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/974.mp4,0,test,youtube,318,600,480,25,zD4gR7-ZMhE,1,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/012.mp4,0,test,youtube,363,640,480,25,-hZZ-11yg0I,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/026.mp4,0,test,youtube,322,640,480,25,0qjxH8dxbFE,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/078.mp4,0,test,youtube,523,1280,720,25,5pcmfjCWGjo,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/955.mp4,0,test,youtube,531,640,480,25,yvf0HOswcPk,1,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/623.mp4,0,test,youtube,352,640,480,25,o72PD1qKk60,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/630.mp4,0,test,youtube,423,640,480,25,oMVfEnN6R-I,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/919.mp4,0,test,youtube,534,640,480,30,yIIe8JmCZTs,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/015.mp4,0,test,youtube,437,640,480,30,-tutmgfU4k4,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/367.mp4,0,test,youtube,649,640,480,25,WsOmiUqBPA0,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/371.mp4,0,test,youtube,718,600,480,25,X7DtwdViCjI,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/847.mp4,0,test,youtube,301,1280,720,30,wYvBjtHdE7I,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/906.mp4,0,test,youtube,389,1920,1080,30,y0eQ6TPsPY8,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/529.mp4,0,test,youtube,335,1920,1080,30,jZc1Oy9TNvs,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/633.mp4,0,test,youtube,512,1280,720,30,oaUa1v_-HtE,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/418.mp4,0,test,youtube,319,1280,720,24,bNaSzFKBUrU,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/507.mp4,0,test,youtube,469,1920,1080,24,i2MPZ8SX6wc,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/227.mp4,0,test,youtube,441,1280,720,30,H-M0TOqBSU8,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/169.mp4,0,test,youtube,649,640,480,30,CRluQ54RAFM,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/389.mp4,0,test,youtube,314,1920,1080,25,Z5K_lix6e9E,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/480.mp4,0,test,youtube,485,1280,720,25,gOftqcLvsSE,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/821.mp4,0,test,youtube,423,712,480,30,vjQ-AzDvPWE,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/812.mp4,0,test,youtube,433,720,480,30,vRCCZzmv5xs,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/670.mp4,0,test,youtube,481,640,480,25,qZ_ozYF3eug,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/661.mp4,0,test,youtube,513,1280,720,25,q3TBk7wt6zM,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/158.mp4,0,test,youtube,444,640,480,30,Bjgzj7vCRKM,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/379.mp4,0,test,youtube,341,640,480,30,XaxzjknSwwU,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/423.mp4,0,test,youtube,1814,598,480,25,bxQGgxOiTPo,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/421.mp4,0,test,youtube,1038,640,480,25,bj6TvzHTczc,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/352.mp4,0,test,youtube,421,720,480,25,UERuiCqLfII,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/319.mp4,0,test,youtube,717,854,480,25,PhsRrmq1YRI,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/579.mp4,0,test,youtube,476,1920,1080,30,mEK1olYy8XY,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/701.mp4,0,test,youtube,393,1920,1080,30,rPBfL0TlQIc,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/488.mp4,0,test,youtube,518,854,480,30,gnURhPBBOfg,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/399.mp4,0,test,youtube,862,1280,720,30,_3qHd5fF2SQ,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/695.mp4,0,test,youtube,310,1920,1080,30,rGszRN55VHs,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/422.mp4,0,test,youtube,316,1920,1080,30,bm8XIEsP7Vo,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/288.mp4,0,test,youtube,543,640,480,25,LZccqrB4n2Q,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/321.mp4,0,test,youtube,567,640,480,25,Pu13KpO9Kcc,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/705.mp4,0,test,youtube,473,854,480,30,rai6unYUpiM,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/707.mp4,0,test,youtube,1034,854,480,30,riakMXEjekA,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/306.mp4,0,test,youtube,728,600,480,25,NgiCQD0RJZ4,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/278.mp4,0,test,youtube,449,640,480,25,KvOft42KA1U,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/865.mp4,0,test,youtube,347,1920,1080,50,x3XdiNt08sA,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/739.mp4,0,test,youtube,304,1280,720,60,sx-ll4lW-o0,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/995.mp4,0,test,youtube,548,640,480,30,ze_1aoKAioE,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/233.mp4,0,test,youtube,675,1280,720,30,HIV2f2oU1Jc,0,,
C:/Users/nathan/seeable/data/original_sequences/youtube/c23/videos/755.mp4,0,test,youtube,336,854,480,30,tR7z_H1qPMc,0,,
